2022-03-04 22:34:35,635 DEBUG    server.py Разбираем коммандную строку : ['C:/Users/Юрий/Documents/GeekBrains/ClientServer/HW/Lesson_07/server.py']
2022-03-04 22:34:35,635 INFO     server.py Запущен сервер, порт для подключений: 7777, 
2022-03-04 22:34:35,636 DEBUG    decos.py Была вызвана функция port_define c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 22:34:35,636 INFO     server.py Запущен сервер, адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-03-04 22:34:35,638 DEBUG    decos.py Была вызвана функция addres_define c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 22:34:35,639 INFO     server.py Сервер запущен на IP адресе  и 7777 порту
2022-03-04 22:35:11,025 INFO     server.py Подключен клинет с адреса 127.0.0.1 и потра 59351
2022-03-04 22:35:41,100 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=832, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59351)>,), {}.Вызов из модуля common.utils.
2022-03-04 22:35:51,524 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=832, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59351)> {'action': 'presence', 'time': 1646408111.0268862, 'Guest': {'account_name': 'Guest'}}
2022-03-04 22:35:51,525 DEBUG    server.py Сообщение корректное {RESPONSE: 200}
2022-03-04 22:37:13,550 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=832, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59351)>, {'response': 200}), {}.Вызов из модуля common.utils.
2022-03-04 22:37:13,551 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1646408111.0268862, 'Guest': {'account_name': 'Guest'}}, [], <socket.socket fd=832, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59351)>), {}.Вызов из модуля __main__.
2022-03-04 22:40:43,665 DEBUG    decos.py Была вызвана функция command_line_def c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 22:40:43,667 DEBUG    decos.py Была вызвана функция create_precense c параметрами (), {}.Вызов из модуля __main__.
2022-03-04 22:40:43,668 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59388), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1646408443.6674438, 'Guest': {'account_name': 'Guest'}}), {}.Вызов из модуля common.utils.
2022-03-04 22:40:55,274 INFO     server.py Подключен клинет с адреса 127.0.0.1 и потра 59388
2022-03-04 22:41:23,616 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=2540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59388)>,), {}.Вызов из модуля common.utils.
2022-03-04 22:41:31,110 DEBUG    server.py Разбор сообщения от клиента : <socket.socket fd=2540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59388)> {'action': 'presence', 'time': 1646408443.6674438, 'Guest': {'account_name': 'Guest'}}
2022-03-04 22:41:31,111 DEBUG    server.py Сообщение корректное {RESPONSE: 200}
2022-03-04 22:41:37,924 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59388), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля common.utils.
2022-03-04 22:41:37,925 DEBUG    decos.py Была вызвана функция process_ans c параметрами ({'response': 200},), {}.Вызов из модуля __main__.
2022-03-04 22:41:43,351 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=2540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59388)>, {'response': 200}), {}.Вызов из модуля common.utils.
2022-03-04 22:41:47,090 DEBUG    decos.py Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1646408443.6674438, 'Guest': {'account_name': 'Guest'}}, [], <socket.socket fd=2540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59388)>), {}.Вызов из модуля __main__.
2022-03-04 22:43:22,177 DEBUG    decos.py Была вызвана функция create_message c параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59388), raddr=('127.0.0.1', 7777)>,), {}.Вызов из модуля __main__.
2022-03-04 22:43:22,178 DEBUG    decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59388), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1646408602.177067, 'account_name': 'Guest', 'mess_text': 'qewtrqewt'}), {}.Вызов из модуля common.utils.
2022-03-04 22:45:24,464 DEBUG    decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=2540, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 59388)>,), {}.Вызов из модуля common.utils.
